year,month,source,fuel_type,emissions_tons
1987,1,transport,oil,1588.61
1987,2,transport,oil,1428.29
1987,3,transport,oil,1581.16
1987,4,transport,oil,1557.4
1987,5,transport,oil,1513.35
1987,6,transport,oil,1465.69
1987,7,transport,oil,1542.77
1987,8,transport,oil,1493.17
1987,9,transport,oil,1406.57
1987,10,transport,oil,1503.36
1987,11,transport,oil,1460.19
1987,12,transport,oil,1551.44
1988,1,transport,oil,1767.64
1988,2,transport,oil,1704.75
1988,3,transport,oil,1872.79
1988,4,transport,oil,1798.04
1988,5,transport,oil,1734.7
1988,6,transport,oil,1757.52
1988,7,transport,oil,1717.99
1988,8,transport,oil,1748.65
1988,9,transport,oil,1682.44
1988,10,transport,oil,1637.48
1988,11,transport,oil,1729.29
1988,12,transport,oil,1895.82
1989,1,transport,oil,2069.27
1989,2,transport,oil,1914.9
1989,3,transport,oil,2228.95
1989,4,transport,oil,2163.71
1989,5,transport,oil,2189.01
1989,6,transport,oil,2097.96
1989,7,transport,oil,2107.53
1989,8,transport,oil,2095.09
1989,9,transport,oil,1995.35
1989,10,transport,oil,2029.26
1989,11,transport,oil,2089.01
1989,12,transport,oil,2222.37
1990,1,transport,oil,2415.54
1990,2,transport,oil,2219.57
1990,3,transport,oil,2477.71
1990,4,transport,oil,2352.33
1990,5,transport,oil,2396.02
1990,6,transport,oil,2351.43
1990,7,transport,oil,2353.07
1990,8,transport,oil,2540.02
1990,9,transport,oil,2429.25
1990,10,transport,oil,2183.88
1990,11,transport,oil,2287.4
1990,12,transport,oil,2348.23
1991,1,transport,oil,2650.84
1991,2,transport,oil,2321.37
1991,3,transport,oil,2522.32
1991,4,transport,oil,2496.3
1991,5,transport,oil,2498.86
1991,6,transport,oil,2410.31
1991,7,transport,oil,2475.9
1991,8,transport,oil,2456.54
1991,9,transport,oil,2198.19
1991,10,transport,oil,2245.9
1991,11,transport,oil,2310.31
1991,12,transport,oil,2391.25
1992,1,transport,oil,2534.59
1992,2,transport,oil,2476.01
1992,3,transport,oil,2632.69
1992,4,transport,oil,2586.91
1992,5,transport,oil,2590.61
1992,6,transport,oil,2534.79
1992,7,transport,oil,2526.81
1992,8,transport,oil,2467.68
1992,9,transport,oil,2467.49
1992,10,transport,oil,2575.59
1992,11,transport,oil,2576.95
1992,12,transport,oil,2942.36
1993,1,transport,oil,2995.46
1993,2,transport,oil,2848.88
1993,3,transport,oil,3157.08
1993,4,transport,oil,3068.95
1993,5,transport,oil,3114.44
1993,6,transport,oil,3039.28
1993,7,transport,oil,3104.99
1993,8,transport,oil,2970.64
1993,9,transport,oil,2895.95
1993,10,transport,oil,2991.49
1993,11,transport,oil,3130.75
1993,12,transport,oil,3216.48
1994,1,transport,oil,3285.76
1994,2,transport,oil,3101.77
1994,3,transport,oil,3379.19
1994,4,transport,oil,3399.84
1994,5,transport,oil,3395.45
1994,6,transport,oil,3447.65
1994,7,transport,oil,3487.98
1994,8,transport,oil,3422.44
1994,9,transport,oil,3264.2
1994,10,transport,oil,3437.4
1994,11,transport,oil,3532.99
1994,12,transport,oil,3783.85
1995,1,transport,oil,3811.96
1995,2,transport,oil,3609.37
1995,3,transport,oil,4206.0
1995,4,transport,oil,4076.03
1995,5,transport,oil,4339.78
1995,6,transport,oil,4179.12
1995,7,transport,oil,4052.13
1995,8,transport,oil,4031.14
1995,9,transport,oil,3733.44
1995,10,transport,oil,3929.05
1995,11,transport,oil,4016.43
1995,12,transport,oil,4226.35
1996,1,transport,oil,4106.11
1996,2,transport,oil,4162.28
1996,3,transport,oil,4492.43
1996,4,transport,oil,4382.35
1996,5,transport,oil,4533.31
1996,6,transport,oil,4582.55
1996,7,transport,oil,4616.21
1996,8,transport,oil,4548.5
1996,9,transport,oil,4111.58
1996,10,transport,oil,4320.59
1996,11,transport,oil,4342.81
1996,12,transport,oil,4511.93
1997,1,transport,oil,4770.96
1997,2,transport,oil,4499.02
1997,3,transport,oil,5092.68
1997,4,transport,oil,4809.06
1997,5,transport,oil,5159.52
1997,6,transport,oil,4866.08
1997,7,transport,oil,4831.29
1997,8,transport,oil,4445.37
1997,9,transport,oil,4117.5
1997,10,transport,oil,4277.02
1997,11,transport,oil,3911.27
1997,12,transport,oil,4455.35
1998,1,transport,oil,4125.59
1998,2,transport,oil,3707.48
1998,3,transport,oil,4149.66
1998,4,transport,oil,3996.22
1998,5,transport,oil,4065.48
1998,6,transport,oil,3908.11
1998,7,transport,oil,3759.2
1998,8,transport,oil,3773.06
1998,9,transport,oil,3750.21
1998,10,transport,oil,3890.28
1998,11,transport,oil,3605.32
1998,12,transport,oil,4040.21
1999,1,transport,oil,3870.18
1999,2,transport,oil,3712.16
1999,3,transport,oil,4235.21
1999,4,transport,oil,4021.25
1999,5,transport,oil,3892.15
1999,6,transport,oil,3962.27
1999,7,transport,oil,4167.62
1999,8,transport,oil,3947.43
1999,9,transport,oil,3692.86
1999,10,transport,oil,3532.15
1999,11,transport,oil,3789.57
1999,12,transport,oil,4093.7
2000,1,transport,oil,4026.16
2000,2,transport,oil,3698.44
2000,3,transport,oil,4040.75
2000,4,transport,oil,4005.59
2000,5,transport,oil,4085.74
2000,6,transport,oil,3816.79
2000,7,transport,oil,3734.97
2000,8,transport,oil,3774.7
2000,9,transport,oil,3424.12
2000,10,transport,oil,3482.68
2000,11,transport,oil,3582.67
2000,12,transport,oil,3909.72
2001,1,transport,oil,3855.61
2001,2,transport,oil,3594.66
2001,3,transport,oil,3950.53
2001,4,transport,oil,4058.6
2001,5,transport,oil,3932.39
2001,6,transport,oil,3850.98
2001,7,transport,oil,3873.54
2001,8,transport,oil,3870.79
2001,9,transport,oil,3638.59
2001,10,transport,oil,3819.91
2001,11,transport,oil,3863.46
2001,12,transport,oil,4242.27
2002,1,transport,oil,4137.83
2002,2,transport,oil,3792.31
2002,3,transport,oil,4260.35
2002,4,transport,oil,4126.17
2002,5,transport,oil,4190.52
2002,6,transport,oil,4011.77
2002,7,transport,oil,4141.23
2002,8,transport,oil,4193.99
2002,9,transport,oil,3771.51
2002,10,transport,oil,3979.65
2002,11,transport,oil,4182.27
2002,12,transport,oil,4466.17
2003,1,transport,oil,4525.76
2003,2,transport,oil,4021.99
2003,3,transport,oil,4543.28
2003,4,transport,oil,4381.38
2003,5,transport,oil,4507.51
2003,6,transport,oil,4353.25
2003,7,transport,oil,4387.7
2003,8,transport,oil,4305.52
2003,9,transport,oil,4187.91
2003,10,transport,oil,4316.85
2003,11,transport,oil,4556.79
2003,12,transport,oil,4935.79
2004,1,transport,oil,4656.9
2004,2,transport,oil,4566.9
2004,3,transport,oil,4913.3
2004,4,transport,oil,4694.56
2004,5,transport,oil,4822.04
2004,6,transport,oil,4485.59
2004,7,transport,oil,4617.84
2004,8,transport,oil,4556.69
2004,9,transport,oil,4457.43
2004,10,transport,oil,4810.21
2004,11,transport,oil,4845.49
2004,12,transport,oil,5074.71
2005,1,transport,oil,5004.95
2005,2,transport,oil,4957.74
2005,3,transport,oil,5206.51
2005,4,transport,oil,4970.15
2005,5,transport,oil,5197.42
2005,6,transport,oil,5008.72
2005,7,transport,oil,4388.55
2005,8,transport,oil,4697.58
2005,9,transport,oil,4284.09
2005,10,transport,oil,4333.75
2005,11,transport,oil,4497.11
2005,12,transport,oil,4865.24
2006,1,transport,oil,4714.48
2006,2,transport,oil,4410.14
2006,3,transport,oil,5001.54
2006,4,transport,oil,4613.96
2006,5,transport,oil,4751.66
2006,6,transport,oil,4410.7
2006,7,transport,oil,4373.69
2006,8,transport,oil,4373.89
2006,9,transport,oil,4220.86
2006,10,transport,oil,4396.54
2006,11,transport,oil,4607.15
2006,12,transport,oil,4756.2
2007,1,transport,oil,4759.06
2007,2,transport,oil,4374.46
2007,3,transport,oil,4953.78
2007,4,transport,oil,4604.31
2007,5,transport,oil,4579.63
2007,6,transport,oil,4637.88
2007,7,transport,oil,4479.99
2007,8,transport,oil,4650.0
2007,9,transport,oil,4322.87
2007,10,transport,oil,4505.76
2007,11,transport,oil,4498.5
2007,12,transport,oil,4708.54
2008,1,transport,oil,4662.45
2008,2,transport,oil,4337.72
2008,3,transport,oil,4716.04
2008,4,transport,oil,4531.41
2008,5,transport,oil,4377.83
2008,6,transport,oil,3948.93
2008,7,transport,oil,3740.76
2008,8,transport,oil,3940.42
2008,9,transport,oil,3805.23
2008,10,transport,oil,4116.66
2008,11,transport,oil,4079.6
2008,12,transport,oil,4646.86
2009,1,transport,oil,4848.9
2009,2,transport,oil,4116.44
2009,3,transport,oil,4679.24
2009,4,transport,oil,4522.58
2009,5,transport,oil,4710.14
2009,6,transport,oil,4242.91
2009,7,transport,oil,4345.31
2009,8,transport,oil,4282.1
2009,9,transport,oil,4126.75
2009,10,transport,oil,4339.24
2009,11,transport,oil,4277.04
2009,12,transport,oil,4874.15
2010,1,transport,oil,4498.69
2010,2,transport,oil,4419.97
2010,3,transport,oil,4775.24
2010,4,transport,oil,4445.46
2010,5,transport,oil,4513.58
2010,6,transport,oil,4400.5
2010,7,transport,oil,4457.18
2010,8,transport,oil,4276.07
2010,9,transport,oil,4195.78
2010,10,transport,oil,4273.77
2010,11,transport,oil,4576.5
2010,12,transport,oil,4803.72
2011,1,transport,oil,4618.5
2011,2,transport,oil,4290.95
2011,3,transport,oil,4792.54
2011,4,transport,oil,4658.34
2011,5,transport,oil,4717.23
2011,6,transport,oil,4579.4
2011,7,transport,oil,4382.93
2011,8,transport,oil,4455.1
2011,9,transport,oil,4317.14
2011,10,transport,oil,4243.6
2011,11,transport,oil,4318.44
2011,12,transport,oil,4966.34
2012,1,transport,oil,4570.87
2012,2,transport,oil,4518.19
2012,3,transport,oil,4834.59
2012,4,transport,oil,4548.07
2012,5,transport,oil,4750.7
2012,6,transport,oil,4552.42
2012,7,transport,oil,4470.29
2012,8,transport,oil,4491.86
2012,9,transport,oil,4230.35
2012,10,transport,oil,4529.24
2012,11,transport,oil,4714.37
2012,12,transport,oil,4968.19
2013,1,transport,oil,4511.52
2013,2,transport,oil,4118.24
2013,3,transport,oil,4644.27
2013,4,transport,oil,4371.16
2013,5,transport,oil,4624.31
2013,6,transport,oil,4203.55
2013,7,transport,oil,4284.12
2013,8,transport,oil,4186.02
2013,9,transport,oil,3876.44
2013,10,transport,oil,4175.08
2013,11,transport,oil,4302.4
2013,12,transport,oil,4479.17
2014,1,transport,oil,4142.57
2014,2,transport,oil,3834.03
2014,3,transport,oil,4245.63
2014,4,transport,oil,4119.44
2014,5,transport,oil,4271.01
2014,6,transport,oil,3904.76
2014,7,transport,oil,4013.57
2014,8,transport,oil,3963.93
2014,9,transport,oil,3846.65
2014,10,transport,oil,3975.45
2014,11,transport,oil,4022.21
2014,12,transport,oil,4442.9
2015,1,transport,oil,4584.4
2015,2,transport,oil,4312.25
2015,3,transport,oil,4695.88
2015,4,transport,oil,4578.69
2015,5,transport,oil,4688.74
2015,6,transport,oil,4455.24
2015,7,transport,oil,4562.78
2015,8,transport,oil,4516.81
2015,9,transport,oil,4270.98
2015,10,transport,oil,4512.18
2015,11,transport,oil,4604.77
2015,12,transport,oil,5043.6
2016,1,transport,oil,5047.27
2016,2,transport,oil,4988.42
2016,3,transport,oil,5260.33
2016,4,transport,oil,5047.25
2016,5,transport,oil,5204.13
2016,6,transport,oil,4889.38
2016,7,transport,oil,4874.38
2016,8,transport,oil,5019.98
2016,9,transport,oil,4760.98
2016,10,transport,oil,4752.54
2016,11,transport,oil,5057.71
2016,12,transport,oil,5403.9
2017,1,transport,oil,5626.37
2017,2,transport,oil,5447.02
2017,3,transport,oil,6118.52
2017,4,transport,oil,5592.67
2017,5,transport,oil,5875.06
2017,6,transport,oil,5756.9
2017,7,transport,oil,5597.31
2017,8,transport,oil,5669.84
2017,9,transport,oil,5512.61
2017,10,transport,oil,5474.73
2017,11,transport,oil,5687.19
2017,12,transport,oil,6117.8
2018,1,transport,oil,6004.22
2018,2,transport,oil,5736.24
2018,3,transport,oil,6357.26
2018,4,transport,oil,5928.33
2018,5,transport,oil,5943.51
2018,6,transport,oil,5762.94
2018,7,transport,oil,5641.97
2018,8,transport,oil,5799.87
2018,9,transport,oil,5360.33
2018,10,transport,oil,5711.94
2018,11,transport,oil,5926.23
2018,12,transport,oil,6329.03
2019,1,transport,oil,6247.87
2019,2,transport,oil,5780.31
2019,3,transport,oil,6424.86
2019,4,transport,oil,6092.0
2019,5,transport,oil,6208.97
2019,6,transport,oil,5937.6
2019,7,transport,oil,6039.26
2019,8,transport,oil,5914.75
2019,9,transport,oil,5544.99
2019,10,transport,oil,6018.19
2019,11,transport,oil,6059.41
2019,12,transport,oil,6289.01
2020,1,transport,oil,6259.42
2020,2,transport,oil,5887.56
2020,3,transport,oil,6091.05
2020,4,transport,oil,5186.49
2020,5,transport,oil,5777.98
2020,6,transport,oil,5722.02
2020,7,transport,oil,6102.24
2020,8,transport,oil,5980.5
2020,9,transport,oil,5920.29
2020,10,transport,oil,5680.79
2020,11,transport,oil,6060.25
2020,12,transport,oil,6249.63
2021,1,transport,oil,5445.19
2021,2,transport,oil,5657.75
2021,3,transport,oil,6445.38
2021,4,transport,oil,5683.56
2021,5,transport,oil,5361.53
2021,6,transport,oil,5387.74
2021,7,transport,oil,4887.22
2021,8,transport,oil,4799.57
2021,9,transport,oil,4865.67
2021,10,transport,oil,5397.63
2021,11,transport,oil,6128.67
2021,12,transport,oil,6816.78
2022,1,transport,oil,6689.91
2022,2,transport,oil,6136.29
2022,3,transport,oil,6480.01
2022,4,transport,oil,6712.67
2022,5,transport,oil,6326.18
2022,6,transport,oil,6172.97
2022,7,transport,oil,5948.11
2022,8,transport,oil,6276.48
2022,9,transport,oil,6147.11
2022,10,transport,oil,6354.09
2022,11,transport,oil,6654.37
2022,12,transport,oil,7076.27
1987,1,industry,oil,531.26
1987,2,industry,oil,408.65
1987,3,industry,oil,444.82
1987,4,industry,oil,433.29
1987,5,industry,oil,495.61
1987,6,industry,oil,461.24
1987,7,industry,oil,460.96
1987,8,industry,oil,431.23
1987,9,industry,oil,470.47
1987,10,industry,oil,439.05
1987,11,industry,oil,422.36
1987,12,industry,oil,458.19
1988,1,industry,oil,423.82
1988,2,industry,oil,383.89
1988,3,industry,oil,448.03
1988,4,industry,oil,451.83
1988,5,industry,oil,502.24
1988,6,industry,oil,468.55
1988,7,industry,oil,472.82
1988,8,industry,oil,508.74
1988,9,industry,oil,536.37
1988,10,industry,oil,524.89
1988,11,industry,oil,501.64
1988,12,industry,oil,455.79
1989,1,industry,oil,574.71
1989,2,industry,oil,462.64
1989,3,industry,oil,529.67
1989,4,industry,oil,519.48
1989,5,industry,oil,518.86
1989,6,industry,oil,587.31
1989,7,industry,oil,548.19
1989,8,industry,oil,588.52
1989,9,industry,oil,532.45
1989,10,industry,oil,614.86
1989,11,industry,oil,676.0
1989,12,industry,oil,630.59
1990,1,industry,oil,597.3
1990,2,industry,oil,600.82
1990,3,industry,oil,674.55
1990,4,industry,oil,598.66
1990,5,industry,oil,634.84
1990,6,industry,oil,689.69
1990,7,industry,oil,710.39
1990,8,industry,oil,780.93
1990,9,industry,oil,671.41
1990,10,industry,oil,660.01
1990,11,industry,oil,658.46
1990,12,industry,oil,654.64
1991,1,industry,oil,749.08
1991,2,industry,oil,614.94
1991,3,industry,oil,691.5
1991,4,industry,oil,695.56
1991,5,industry,oil,719.5
1991,6,industry,oil,656.27
1991,7,industry,oil,759.67
1991,8,industry,oil,748.58
1991,9,industry,oil,764.71
1991,10,industry,oil,769.04
1991,11,industry,oil,688.66
1991,12,industry,oil,793.39
1992,1,industry,oil,836.06
1992,2,industry,oil,788.41
1992,3,industry,oil,929.94
1992,4,industry,oil,894.91
1992,5,industry,oil,914.75
1992,6,industry,oil,935.69
1992,7,industry,oil,864.43
1992,8,industry,oil,852.69
1992,9,industry,oil,842.32
1992,10,industry,oil,835.68
1992,11,industry,oil,855.85
1992,12,industry,oil,848.67
1993,1,industry,oil,881.18
1993,2,industry,oil,847.86
1993,3,industry,oil,992.48
1993,4,industry,oil,936.18
1993,5,industry,oil,972.95
1993,6,industry,oil,925.43
1993,7,industry,oil,928.43
1993,8,industry,oil,928.4
1993,9,industry,oil,887.81
1993,10,industry,oil,995.51
1993,11,industry,oil,995.5
1993,12,industry,oil,964.63
1994,1,industry,oil,975.21
1994,2,industry,oil,909.89
1994,3,industry,oil,998.66
1994,4,industry,oil,948.04
1994,5,industry,oil,1080.09
1994,6,industry,oil,997.56
1994,7,industry,oil,968.98
1994,8,industry,oil,974.71
1994,9,industry,oil,993.65
1994,10,industry,oil,1022.36
1994,11,industry,oil,1037.15
1994,12,industry,oil,1063.33
1995,1,industry,oil,1082.92
1995,2,industry,oil,1068.71
1995,3,industry,oil,1273.38
1995,4,industry,oil,1081.6
1995,5,industry,oil,1255.04
1995,6,industry,oil,1167.34
1995,7,industry,oil,1078.79
1995,8,industry,oil,1023.35
1995,9,industry,oil,1009.18
1995,10,industry,oil,1150.7
1995,11,industry,oil,1156.36
1995,12,industry,oil,1164.41
1996,1,industry,oil,1205.77
1996,2,industry,oil,1200.31
1996,3,industry,oil,1362.24
1996,4,industry,oil,1216.7
1996,5,industry,oil,1295.78
1996,6,industry,oil,1182.99
1996,7,industry,oil,1188.91
1996,8,industry,oil,1205.57
1996,9,industry,oil,1204.04
1996,10,industry,oil,1149.0
1996,11,industry,oil,1030.81
1996,12,industry,oil,1033.47
1997,1,industry,oil,1054.16
1997,2,industry,oil,934.5
1997,3,industry,oil,1175.0
1997,4,industry,oil,1118.33
1997,5,industry,oil,1245.49
1997,6,industry,oil,1200.01
1997,7,industry,oil,1154.35
1997,8,industry,oil,1076.71
1997,9,industry,oil,1033.71
1997,10,industry,oil,1028.31
1997,11,industry,oil,981.66
1997,12,industry,oil,910.58
1998,1,industry,oil,910.44
1998,2,industry,oil,852.82
1998,3,industry,oil,1082.65
1998,4,industry,oil,1062.08
1998,5,industry,oil,1164.65
1998,6,industry,oil,1100.63
1998,7,industry,oil,1035.28
1998,8,industry,oil,942.61
1998,9,industry,oil,925.72
1998,10,industry,oil,875.83
1998,11,industry,oil,884.22
1998,12,industry,oil,877.7
1999,1,industry,oil,877.02
1999,2,industry,oil,847.33
1999,3,industry,oil,1084.08
1999,4,industry,oil,937.44
1999,5,industry,oil,1142.32
1999,6,industry,oil,1102.48
1999,7,industry,oil,1060.17
1999,8,industry,oil,1074.99
1999,9,industry,oil,1014.17
1999,10,industry,oil,1007.25
1999,11,industry,oil,875.68
1999,12,industry,oil,878.77
2000,1,industry,oil,1168.06
2000,2,industry,oil,1145.58
2000,3,industry,oil,1185.47
2000,4,industry,oil,1060.77
2000,5,industry,oil,1194.58
2000,6,industry,oil,1148.14
2000,7,industry,oil,1066.19
2000,8,industry,oil,1034.75
2000,9,industry,oil,987.9
2000,10,industry,oil,971.31
2000,11,industry,oil,893.23
2000,12,industry,oil,816.01
2001,1,industry,oil,1044.69
2001,2,industry,oil,974.69
2001,3,industry,oil,1112.55
2001,4,industry,oil,1031.32
2001,5,industry,oil,1110.88
2001,6,industry,oil,1049.93
2001,7,industry,oil,988.86
2001,8,industry,oil,1028.38
2001,9,industry,oil,987.53
2001,10,industry,oil,1011.97
2001,11,industry,oil,1010.42
2001,12,industry,oil,1033.49
2002,1,industry,oil,1048.51
2002,2,industry,oil,946.68
2002,3,industry,oil,1106.93
2002,4,industry,oil,1126.53
2002,5,industry,oil,1189.68
2002,6,industry,oil,1110.27
2002,7,industry,oil,1093.67
2002,8,industry,oil,1140.1
2002,9,industry,oil,1037.23
2002,10,industry,oil,1037.96
2002,11,industry,oil,1058.95
2002,12,industry,oil,1020.23
2003,1,industry,oil,1028.37
2003,2,industry,oil,956.83
2003,3,industry,oil,1047.88
2003,4,industry,oil,971.74
2003,5,industry,oil,1088.25
2003,6,industry,oil,1063.86
2003,7,industry,oil,1111.79
2003,8,industry,oil,1090.17
2003,9,industry,oil,1129.73
2003,10,industry,oil,1183.48
2003,11,industry,oil,1157.75
2003,12,industry,oil,1093.21
2004,1,industry,oil,1019.73
2004,2,industry,oil,1050.09
2004,3,industry,oil,1309.94
2004,4,industry,oil,1145.89
2004,5,industry,oil,1185.2
2004,6,industry,oil,1091.27
2004,7,industry,oil,1152.52
2004,8,industry,oil,1072.8
2004,9,industry,oil,1024.74
2004,10,industry,oil,1095.25
2004,11,industry,oil,1090.42
2004,12,industry,oil,1039.37
2005,1,industry,oil,839.38
2005,2,industry,oil,892.34
2005,3,industry,oil,1048.2
2005,4,industry,oil,1011.41
2005,5,industry,oil,1060.92
2005,6,industry,oil,960.01
2005,7,industry,oil,975.42
2005,8,industry,oil,929.66
2005,9,industry,oil,989.25
2005,10,industry,oil,1012.93
2005,11,industry,oil,836.9
2005,12,industry,oil,881.42
2006,1,industry,oil,840.78
2006,2,industry,oil,959.45
2006,3,industry,oil,988.01
2006,4,industry,oil,895.16
2006,5,industry,oil,899.17
2006,6,industry,oil,984.16
2006,7,industry,oil,908.76
2006,8,industry,oil,834.92
2006,9,industry,oil,721.26
2006,10,industry,oil,681.59
2006,11,industry,oil,673.76
2006,12,industry,oil,702.02
2007,1,industry,oil,765.98
2007,2,industry,oil,759.17
2007,3,industry,oil,860.89
2007,4,industry,oil,821.49
2007,5,industry,oil,794.05
2007,6,industry,oil,805.14
2007,7,industry,oil,732.16
2007,8,industry,oil,751.52
2007,9,industry,oil,823.22
2007,10,industry,oil,889.44
2007,11,industry,oil,767.99
2007,12,industry,oil,797.23
2008,1,industry,oil,769.38
2008,2,industry,oil,706.36
2008,3,industry,oil,848.89
2008,4,industry,oil,926.14
2008,5,industry,oil,757.14
2008,6,industry,oil,681.39
2008,7,industry,oil,726.25
2008,8,industry,oil,746.31
2008,9,industry,oil,695.71
2008,10,industry,oil,709.24
2008,11,industry,oil,659.47
2008,12,industry,oil,689.13
2009,1,industry,oil,690.53
2009,2,industry,oil,627.41
2009,3,industry,oil,671.14
2009,4,industry,oil,632.88
2009,5,industry,oil,671.52
2009,6,industry,oil,640.96
2009,7,industry,oil,646.39
2009,8,industry,oil,652.27
2009,9,industry,oil,643.44
2009,10,industry,oil,735.6
2009,11,industry,oil,646.71
2009,12,industry,oil,737.23
2010,1,industry,oil,620.4
2010,2,industry,oil,617.01
2010,3,industry,oil,721.15
2010,4,industry,oil,620.86
2010,5,industry,oil,630.54
2010,6,industry,oil,600.55
2010,7,industry,oil,663.6
2010,8,industry,oil,613.97
2010,9,industry,oil,583.77
2010,10,industry,oil,588.82
2010,11,industry,oil,625.1
2010,12,industry,oil,640.52
2011,1,industry,oil,692.68
2011,2,industry,oil,686.4
2011,3,industry,oil,740.97
2011,4,industry,oil,713.34
2011,5,industry,oil,728.43
2011,6,industry,oil,775.6
2011,7,industry,oil,855.01
2011,8,industry,oil,785.02
2011,9,industry,oil,783.16
2011,10,industry,oil,732.88
2011,11,industry,oil,647.53
2011,12,industry,oil,781.57
2012,1,industry,oil,882.47
2012,2,industry,oil,839.54
2012,3,industry,oil,871.77
2012,4,industry,oil,929.04
2012,5,industry,oil,1080.22
2012,6,industry,oil,900.41
2012,7,industry,oil,887.26
2012,8,industry,oil,857.85
2012,9,industry,oil,799.9
2012,10,industry,oil,861.55
2012,11,industry,oil,850.2
2012,12,industry,oil,857.5
2013,1,industry,oil,916.72
2013,2,industry,oil,965.44
2013,3,industry,oil,1109.98
2013,4,industry,oil,1143.5
2013,5,industry,oil,1047.47
2013,6,industry,oil,992.76
2013,7,industry,oil,1056.67
2013,8,industry,oil,1062.4
2013,9,industry,oil,982.82
2013,10,industry,oil,1016.44
2013,11,industry,oil,1023.21
2013,12,industry,oil,1085.24
2014,1,industry,oil,1073.96
2014,2,industry,oil,938.09
2014,3,industry,oil,1070.71
2014,4,industry,oil,1045.68
2014,5,industry,oil,1069.2
2014,6,industry,oil,1018.1
2014,7,industry,oil,1030.16
2014,8,industry,oil,1013.58
2014,9,industry,oil,988.88
2014,10,industry,oil,1019.71
2014,11,industry,oil,985.47
2014,12,industry,oil,1058.56
2015,1,industry,oil,994.3
2015,2,industry,oil,922.62
2015,3,industry,oil,1000.04
2015,4,industry,oil,1069.3
2015,5,industry,oil,999.17
2015,6,industry,oil,947.5
2015,7,industry,oil,949.32
2015,8,industry,oil,945.4
2015,9,industry,oil,903.73
2015,10,industry,oil,950.57
2015,11,industry,oil,954.59
2015,12,industry,oil,1026.16
2016,1,industry,oil,1925.87
2016,2,industry,oil,1852.34
2016,3,industry,oil,1993.51
2016,4,industry,oil,1891.55
2016,5,industry,oil,1942.18
2016,6,industry,oil,1811.35
2016,7,industry,oil,1782.34
2016,8,industry,oil,1791.37
2016,9,industry,oil,1707.48
2016,10,industry,oil,1707.03
2016,11,industry,oil,1822.75
2016,12,industry,oil,1965.08
2017,1,industry,oil,1475.19
2017,2,industry,oil,1421.1
2017,3,industry,oil,1605.17
2017,4,industry,oil,1434.87
2017,5,industry,oil,1494.9
2017,6,industry,oil,1465.03
2017,7,industry,oil,1417.01
2017,8,industry,oil,1423.33
2017,9,industry,oil,1384.8
2017,10,industry,oil,1360.34
2017,11,industry,oil,1438.33
2017,12,industry,oil,1530.58
2018,1,industry,oil,1379.69
2018,2,industry,oil,1296.23
2018,3,industry,oil,1434.6
2018,4,industry,oil,1312.19
2018,5,industry,oil,1338.04
2018,6,industry,oil,1278.76
2018,7,industry,oil,1260.25
2018,8,industry,oil,1303.04
2018,9,industry,oil,1217.79
2018,10,industry,oil,1275.06
2018,11,industry,oil,1315.45
2018,12,industry,oil,1394.76
2019,1,industry,oil,1334.94
2019,2,industry,oil,1224.7
2019,3,industry,oil,1360.93
2019,4,industry,oil,1280.61
2019,5,industry,oil,1308.87
2019,6,industry,oil,1241.61
2019,7,industry,oil,1268.61
2019,8,industry,oil,1238.12
2019,9,industry,oil,1156.44
2019,10,industry,oil,1209.86
2019,11,industry,oil,1225.32
2019,12,industry,oil,1252.47
2020,1,industry,oil,1058.64
2020,2,industry,oil,986.29
2020,3,industry,oil,1028.69
2020,4,industry,oil,863.98
2020,5,industry,oil,976.97
2020,6,industry,oil,945.84
2020,7,industry,oil,1013.12
2020,8,industry,oil,1016.23
2020,9,industry,oil,976.77
2020,10,industry,oil,952.36
2020,11,industry,oil,1011.78
2020,12,industry,oil,1043.48
2021,1,industry,oil,865.2
2021,2,industry,oil,909.42
2021,3,industry,oil,1020.36
2021,4,industry,oil,901.5
2021,5,industry,oil,875.01
2021,6,industry,oil,860.79
2021,7,industry,oil,803.11
